PREC_ID,PREC_NAME,DEM,REP,OTHER,W,B,I,M,O,P,U,A
10,INGALLS,65,469,197,650,0,1,0,4,0,76,0
15,NEWLAND # 2,93,424,189,626,3,3,3,4,0,67,0
11,LINVILLE,76,276,171,472,0,0,4,2,0,44,1
01,ALTAMONT,96,536,284,839,6,1,1,5,0,64,0
06,ELK PARK,68,463,208,669,0,1,2,5,0,61,1
04,CAREYS FLAT,18,52,16,80,0,0,0,0,0,6,0
14,NEWLAND # 1,68,555,285,815,1,2,1,4,0,83,2
09,HUGHES,28,232,90,316,0,0,1,0,0,33,0
08,HEATON,20,203,84,282,0,2,1,2,0,19,1
12,MINNEAPOLIS,17,169,87,254,1,0,0,0,0,18,0
17,PLUMTREE,34,347,126,451,4,0,0,0,0,52,0
18,PYATTE,24,182,104,274,0,0,0,0,0,36,0
13,MONTEZUMA,61,296,154,474,0,0,1,1,0,33,2
19,ROARING CREEK,10,203,71,255,0,1,0,0,0,28,0
03,BEECH MOUNTAIN,26,286,130,391,0,0,0,0,0,51,0
05,CRANBERRY,22,200,91,274,0,0,0,5,0,34,0
07,FRANK,7,167,40,186,4,2,0,0,0,21,1
BLCK,BLOUNTS CREEK,316,313,188,523,217,1,3,5,0,67,1
PSJW3,P S JONES-WASH W3,853,205,368,417,830,2,4,35,0,136,2
GILEA,GILEAD,454,871,728,1714,164,6,2,20,0,143,4
CHOCO,CHOCOWINITY,1196,1400,1118,2420,813,4,15,61,0,400,1
WASH1,WASHINGTON WARD 1,727,343,490,738,612,3,9,22,0,175,1
WASH4,WASHINGTON WARD 4,777,655,599,1377,453,0,8,41,0,147,5
BELHV,BELHAVEN,662,484,339,847,510,0,3,18,0,107,0
PANTE,PANTEGO,406,422,239,671,290,0,1,12,0,92,1
HB,HUNTERS BRIDGE,173,389,207,673,58,1,0,8,0,28,1
NCRK,NORTH CREEK,326,597,356,1070,106,1,3,8,0,89,2
OLDF,OLD FORD,621,442,391,845,475,2,5,21,0,105,1
TCRK,TRANTERS CREEK,627,925,718,1739,321,2,4,36,0,166,2
BEADM,BEAVER DAM,306,823,496,1396,91,2,3,15,0,114,4
SURBA,SURRY-BATH,406,773,604,1597,58,3,6,11,0,105,3
RVRD,RIVER ROAD,661,728,583,1432,320,2,4,43,0,171,0
EDWAR,EDWARD,366,300,223,527,273,1,3,8,0,74,3
WASH2,WASHINGTON WARD 2,760,252,377,570,667,1,4,11,0,134,2
WDPD,WOODARDS POND,292,679,507,1252,101,2,3,15,0,102,3
AUROR,AURORA,522,238,240,462,413,3,1,11,0,110,0
WASHP,WASHINGTON PARK,392,390,351,831,183,0,4,18,0,97,0
PINET,PINETOWN,150,437,240,739,38,0,1,5,0,43,1
M2,MITCHELLS 2,481,119,169,259,437,1,1,7,0,64,0
W1,WINDSOR 1,2426,371,777,1134,2174,6,7,8,1,224,20
WD,WOODVILLE,630,53,140,95,676,1,1,5,0,43,2
C2,COLERAIN 2,948,117,255,358,871,2,1,3,0,83,2
C1,COLERAIN 1,460,180,221,434,360,0,1,6,0,58,2
WH,WHITES,518,190,264,561,347,2,1,6,0,54,1
M1,MITCHELLS 1,420,121,168,310,346,0,1,2,0,50,0
IW,INDIAN WOODS,277,13,38,24,287,0,2,1,0,13,1
MH,MERRY HILL,450,126,176,326,386,0,0,4,0,35,1
W2,WINDSOR 2,267,159,227,583,8,2,0,2,0,57,1
RX,ROXOBEL,725,86,233,233,751,2,1,2,0,54,1
SN,SNAKEBITE,601,55,133,125,606,3,2,2,0,49,2
P502,ELIZABETHTOWN #2,943,301,435,769,775,19,9,20,0,85,2
P35,CENTRAL,369,116,187,289,306,4,2,19,0,52,0
P25,BROWN MARSH,564,157,323,522,439,17,5,12,0,48,1
P80,WHITE OAK,421,266,382,627,314,13,3,34,0,78,0
P60,HOLLOW,718,307,406,696,565,30,4,40,0,94,2
P40,COLLY,518,528,539,1152,276,12,5,18,0,121,1
P501,ELIZABETHTOWN #1,1490,419,710,1193,1241,14,10,28,0,126,7
P65,LAKE CREEK,178,226,164,380,115,4,2,8,0,59,0
P10,ABBOTTS,252,162,218,413,188,5,2,3,0,21,0
P202,BLADENBORO #2,834,657,935,1724,525,38,12,29,0,98,0
P201,BLADENBORO #1,455,400,558,1130,187,15,6,8,0,67,0
P55,FRENCHES CREEK,288,137,166,303,219,7,2,9,0,49,2
P15,BETHEL,873,708,982,1805,486,17,10,62,0,180,3
P70,TURNBULL,240,77,109,224,160,3,1,7,0,30,1
P45,CYPRESS CREEK,178,157,128,330,78,3,3,19,0,30,0
P75,WHITES CREEK,709,140,246,314,670,24,7,10,1,69,0
P30,CARVERS CREEK,883,116,235,170,819,146,4,8,1,85,1
17,LONGWOOD,1630,2615,2256,5198,752,12,10,63,0,453,13
19,SHINGLETREE 2,1127,2532,2006,5003,106,13,10,48,0,475,10
10A,MOSQUITO 1,934,1891,1614,3625,253,13,8,38,0,496,6
04B2,BELVILLE 2,1752,2576,2880,5549,593,19,21,93,0,889,44
02,LELAND,2320,2624,2950,5237,1190,38,28,136,0,1238,27
15,GRISSETTOWN,1403,3157,2546,6020,247,23,10,72,0,714,20
23,OAK ISLAND 3,644,1392,1236,2712,17,8,7,20,0,501,7
22,OAK ISLAND 2,670,1360,1145,2627,15,6,2,13,0,505,7
13,SHALLOTTE,978,1421,1368,2772,426,17,14,78,0,454,6
04A,BELVILLE 1,2781,4195,4455,8796,835,19,40,155,1,1531,54
14,FRYING PAN,959,2061,1646,4013,135,14,9,21,0,462,12
07,SOUTHPORT 1,843,1392,1301,2941,158,5,4,42,0,374,12
20,SECESSION 2,785,1700,1407,3229,99,14,5,37,0,498,10
05,TOWNCREEK,1044,1764,1637,3193,510,25,20,67,1,618,11
09,OAK ISLAND 1,239,497,417,991,7,1,0,7,0,141,6
18,WACCAMAW,479,860,645,1553,131,10,4,41,0,244,1
16,SHINGLETREE 1,1085,2300,2002,4740,77,4,4,42,0,501,19
08,SOUTHPORT 2,1265,2190,2153,4710,248,10,10,50,0,555,25
10B,MOSQUITO 2,1060,2702,2473,5831,46,2,3,20,0,311,22
11,SUPPLY,921,756,841,1463,758,17,5,23,0,247,5
21,BOILING SPRING LAKES,846,2157,1903,4166,141,20,15,64,0,490,10
06,BOLIVIA,456,653,465,1093,304,7,5,10,0,151,4
12,SECESSION 1,683,1360,1252,2724,159,12,4,26,0,367,3
03,WOODBURN,781,468,618,925,543,11,7,45,0,328,8
01,HOOD CREEK,673,601,580,1091,492,21,12,34,0,204,0
52.1,52.1,1019,1499,1535,3493,46,10,18,60,1,394,31
68.1,68.1,1330,1339,1775,3600,175,8,31,111,1,498,20
60.2,60.2,510,277,640,1154,50,0,10,29,0,178,6
03.1,03.1,1307,100,1026,1934,145,3,26,41,1,274,9
65.1,65.1,1198,763,1220,2709,73,5,26,47,0,307,14
30.2,30.2,877,893,1294,2359,125,5,14,70,2,457,32
19.1,19.1,697,378,788,1332,169,5,9,40,1,294,13
25.1,25.1,1070,395,1012,1959,150,5,21,58,1,263,20
58.1,58.1,716,579,920,1961,24,2,7,29,0,185,7
41.1,41.1,874,1113,1245,2824,35,6,14,61,0,284,8
70.1,70.1,1381,550,1400,2627,105,6,26,93,0,437,37
14.2,14.2,1209,219,958,1673,309,4,16,62,1,305,16
