,PREC_ID,DEM,REP,OTHER,W,B,I,M,O,P,U,A
95,01-42,880,1005,1122,2379,227,4,20,92,0,227,58
96,01-43,1177,530,1072,1526,649,1,34,100,0,433,36
97,01-44,1859,765,1392,2320,875,7,41,161,0,567,45
98,01-45,723,415,784,1229,309,2,12,56,0,265,49
99,01-46,2048,305,1195,666,1848,13,46,207,0,693,75
100,01-47,730,737,811,1881,118,3,12,72,0,170,22
101,01-48,1078,322,1063,1651,316,7,19,89,1,338,42
102,01-49,1828,525,1839,1704,1084,6,68,174,0,1059,97
103,01-50,2317,146,891,340,2294,7,36,118,0,509,50
104,01-51,402,288,439,918,73,0,3,27,0,99,9
105,01.1,1278,189,894,1595,376,6,24,50,0,297,13
106,010,2799,1117,1925,3494,1634,19,27,150,0,449,68
107,0101,3422,1053,1324,2103,3163,8,21,100,0,391,13
108,0102,1870,545,481,1260,1411,8,14,40,0,159,4
109,0103,1246,529,382,1140,877,0,1,26,0,110,3
110,0104,1290,449,394,991,992,7,8,13,0,121,1
111,011,5814,5462,6829,11659,3179,43,165,460,0,2294,305
112,012,2855,3346,2884,5863,2032,16,48,143,0,923,60
113,013,4059,3926,4201,7504,2575,26,94,276,0,1553,158
114,014,3970,2044,2987,4862,2677,33,70,190,1,1049,119
115,015,3779,3575,4798,8666,1138,34,85,323,2,1690,214
116,016,3783,2271,2483,3909,3272,18,60,183,1,1022,72
117,017,1481,163,749,506,1482,4,41,61,0,267,32
118,017A,662,1331,1163,2320,278,7,19,97,0,403,32
119,017B,904,2077,1882,3537,378,14,25,154,0,577,178
120,018,885,2167,1840,4028,107,16,14,92,0,538,97
121,019,1766,3350,2900,6165,628,10,38,194,2,869,110
122,02,16834,18446,18345,34594,8549,2192,377,1293,4,5969,647
123,02 CAN,394,544,504,1289,2,0,2,5,0,140,4
124,02-01,1867,2318,2499,4776,711,10,23,190,0,862,112
125,02-02,2878,3751,4294,7784,1246,26,61,339,0,1269,198
126,02-03,2559,3438,3671,6783,1288,14,46,277,0,1138,122
